cuisine,rank,ingredient,log_probability
indian,5,ground turmeric,-4.042641787146682
indian,6,garlic,-4.045390929771603
indian,7,cumin seed,-4.086126899086421
indian,8,ground cumin,-4.106402756617936
indian,9,vegetable oil,-4.247592198732218
indian,10,oil,-4.330095105165348
irish,1,salt,-3.2338494794414787
irish,2,all-purpose flour,-3.7734152941662007
irish,3,butter,-3.7734152941662007
irish,4,onions,-4.27818488125515
irish,5,sugar,-4.373117773750717
irish,6,potatoes,-4.373117773750717
irish,7,baking soda,-4.415496996719579
irish,8,baking powder,-4.441814305036952
irish,9,milk,-4.450742935781253
irish,10,carrots,-4.5060565737653056
italian,1,salt,-3.154876358491695
italian,2,olive oil,-3.259449162411272
italian,3,garlic cloves,-3.9124366278091607
italian,4,grated parmesan cheese,-3.9374457461784047
italian,5,garlic,-4.0082717987470176
italian,6,ground black pepper,-4.026790846514255
italian,7,extra-virgin olive oil,-4.085232839883146
italian,8,onions,-4.179039563288689
italian,9,water,-4.3433858008640085
italian,10,butter,-4.365480839952701
jamaican,1,salt,-3.3810969656704204
jamaican,2,onions,-4.031559226379415
jamaican,3,water,-4.154036258739078
jamaican,4,garlic,-4.249672224504909
jamaican,5,ground allspice,-4.3318079214310545
jamaican,6,pepper,-4.35543106719449
jamaican,7,scallions,-4.473712234866156
jamaican,8,dried thyme,-4.529025872850208
jamaican,9,black pepper,-4.548165213060906
jamaican,10,garlic cloves,-4.5676780272844875
japanese,1,soy sauce,-3.4223144823114113
japanese,2,salt,-3.7067368096926803
japanese,3,mirin,-3.7552311596312906
japanese,4,sugar,-3.7577187231030926
japanese,5,water,-3.8035866356825982
japanese,6,sake,-4.084770959476859
japanese,7,rice vinegar,-4.186491972984931
japanese,8,vegetable oil,-4.249629309255334
japanese,9,scallions,-4.317023226989309
japanese,10,ginger,-4.503274061923153
korean,1,soy sauce,-3.3927799883201057
korean,2,sesame oil,-3.4505577889869166
korean,3,garlic,-3.7353526661973673
korean,4,green onions,-3.768856637428769
korean,5,sugar,-3.8653600330910214
korean,6,salt,-3.915370453665682
korean,7,water,-3.9597325663193823
korean,8,sesame seeds,-4.041322862643296
korean,9,onions,-4.110795235458064
korean,10,scallions,-4.1700718453876044
mexican,1,salt,-3.294747148065305
mexican,2,onions,-3.894440476335121
mexican,3,ground cumin,-3.998054201739632
mexican,4,garlic,-4.019826833575768
mexican,5,olive oil,-4.041308288669886
mexican,6,chili powder,-4.083278027029814
mexican,7,jalapeno chilies,-4.158849011693326
mexican,8,sour cream,-4.221847797186867
mexican,9,avocado,-4.25298238747403
mexican,10,corn tortillas,-4.350547143341908
moroccan,1,salt,-3.5186131144373523
moroccan,2,olive oil,-3.5210344231263626
moroccan,3,ground cumin,-3.6896323987005193
moroccan,4,onions,-3.9066969039383466
moroccan,5,ground cinnamon,-4.133859214847474
moroccan,6,garlic cloves,-4.133859214847474
moroccan,7,water,-4.336520455878552
moroccan,8,ground ginger,-4.375631585995177
moroccan,9,carrots,-4.4966248972818095
moroccan,10,paprika,-4.529307544712168
russian,1,salt,-3.3655013564818477
russian,2,sugar,-3.9835507108107135
russian,3,onions,-4.050020355818455
russian,4,all-purpose flour,-4.21395528636197
russian,5,sour cream,-4.2637581088457885
russian,6,eggs,-4.307243220785527
russian,7,water,-4.316171851529829
russian,8,butter,-4.3810093710251365
russian,9,unsalted butter,-4.492235006135361
russian,10,large eggs,-4.581680066487287
southern_us,1,salt,-2.9773255281427566
southern_us,2,butter,-3.5785617628719137
southern_us,3,all-purpose flour,-3.6051977201205263
southern_us,4,sugar,-3.753028941550724
southern_us,5,large eggs,-4.098455324490309
southern_us,6,baking powder,-4.121491573506713
southern_us,7,water,-4.182244716261528
southern_us,8,unsalted butter,-4.228452638265799
southern_us,9,milk,-4.243825731182857
southern_us,10,buttermilk,-4.261013654315112
spanish,1,salt,-3.3899508799806215
spanish,2,olive oil,-3.562547886882581
spanish,3,garlic cloves,-3.8506601593840166
spanish,4,extra-virgin olive oil,-3.979041326032224
spanish,5,onions,-3.986899912644745
spanish,6,water,-4.456509142358648
spanish,7,tomatoes,-4.5016781107265595
spanish,8,ground black pepper,-4.5149673428452415
spanish,9,red bell pepper,-4.562921735967278
spanish,10,pepper,-4.628162257835679
thai,1,fish sauce,-3.5897831391182606
thai,2,garlic,-4.001261494449877
thai,3,salt,-4.0456584279503245
thai,4,coconut milk,-4.160450983688599
thai,5,vegetable oil,-4.21271251261349
thai,6,soy sauce,-4.221694608929318
thai,7,sugar,-4.227727809733485
thai,8,water,-4.290150567651693
thai,9,garlic cloves,-4.326220051469723
thai,10,fresh lime juice,-4.417032847163191
vietnamese,1,fish sauce,-3.560503086337385
vietnamese,2,sugar,-3.6909455331061345
vietnamese,3,salt,-3.955198372261494
vietnamese,4,garlic,-4.054486206708878
vietnamese,5,water,-4.105889385168843
vietnamese,6,carrots,-4.252377192250532
vietnamese,7,soy sauce,-4.486393891940559
vietnamese,8,shallots,-4.512453998610424
vietnamese,9,garlic cloves,-4.532454665317093
vietnamese,10,vegetable oil,-4.5528635369483
