model,accuracy,macro_f1
Multinomial Naive Bayes,0.7452607230854327,0.652697120574574
Linear SVM,0.7425956655101322,0.6552097603981448
Logistic Regression,0.7404837330919696,0.6660324442179378
Majority-class baseline,0.19706340825665009,0.016462236410988824
