actual_cuisine,predicted_cuisine,row_normalized_rate
greek,moroccan,0.02468085106382979
chinese,thai,0.024317246539468762
irish,italian,0.0239880059970015
moroccan,italian,0.023142509135200974
italian,spanish,0.023092625669813727
filipino,brazilian,0.022516556291390728
russian,filipino,0.022494887525562373
southern_us,irish,0.02199074074074074
italian,southern_us,0.02181678999744833
japanese,korean,0.02178496134926212
korean,vietnamese,0.021686746987951807
brazilian,cajun_creole,0.021413276231263382
brazilian,indian,0.021413276231263382
british,indian,0.021144278606965175
british,italian,0.021144278606965175
mexican,southern_us,0.02096924510717614
chinese,filipino,0.020950243172465393
vietnamese,brazilian,0.020606060606060607
russian,spanish,0.02044989775051125
southern_us,mexican,0.02013888888888889
brazilian,russian,0.019271948608137045
jamaican,french,0.019011406844106463
chinese,vietnamese,0.01870557426112982
filipino,russian,0.018543046357615896
filipino,thai,0.018543046357615896
japanese,southern_us,0.017568517217146872
thai,filipino,0.017543859649122806
southern_us,russian,0.01712962962962963
jamaican,indian,0.017110266159695818
vietnamese,japanese,0.01696969696969697
korean,filipino,0.016867469879518072
irish,spanish,0.01649175412293853
russian,greek,0.016359918200409
russian,indian,0.016359918200409
spanish,filipino,0.016177957532861477
cajun_creole,mexican,0.016170763260025874
cajun_creole,russian,0.016170763260025874
japanese,french,0.016163035839775124
filipino,korean,0.015894039735099338
filipino,mexican,0.015894039735099338
moroccan,mexican,0.015834348355663823
japanese,filipino,0.015460295151089248
mexican,spanish,0.01537744641192917
greek,russian,0.015319148936170212
jamaican,cajun_creole,0.015209125475285171
jamaican,british,0.015209125475285171
jamaican,brazilian,0.015209125475285171
spanish,cajun_creole,0.015166835187057633
spanish,british,0.015166835187057633
french,greek,0.015117157974300832
brazilian,french,0.014989293361884369
filipino,french,0.01456953642384106
vietnamese,korean,0.014545454545454545
greek,southern_us,0.01446808510638298
cajun_creole,spanish,0.014230271668822769
spanish,brazilian,0.014155712841253791
southern_us,spanish,0.013888888888888888
mexican,italian,0.01382416899658279
british,jamaican,0.013681592039800995
thai,mexican,0.01364522417153996
greek,indian,0.013617021276595745
irish,greek,0.013493253373313344
mexican,french,0.013358185771978875
jamaican,spanish,0.013307984790874524
southern_us,filipino,0.012962962962962963
brazilian,british,0.01284796573875803
indian,mexican,0.012321012321012322
russian,moroccan,0.012269938650306749
moroccan,french,0.012180267965895249
moroccan,jamaican,0.012180267965895249
moroccan,southern_us,0.012180267965895249
spanish,indian,0.012133468149646108
spanish,russian,0.012133468149646108
filipino,japanese,0.011920529801324504
filipino,italian,0.011920529801324504
italian,russian,0.011610104618525133
jamaican,russian,0.011406844106463879
british,spanish,0.011194029850746268
thai,korean,0.011046133853151396
brazilian,thai,0.010706638115631691
japanese,thai,0.010541110330288124
japanese,vietnamese,0.010541110330288124
irish,filipino,0.010494752623688156
thai,brazilian,0.010396361273554255
russian,jamaican,0.010224948875255624
russian,japanese,0.010224948875255624
italian,british,0.009951518244450114
british,brazilian,0.009950248756218905
japanese,irish,0.009838369641602248
jamaican,irish,0.009505703422053232
southern_us,brazilian,0.00949074074074074
french,cajun_creole,0.00944822373393802
indian,thai,0.009324009324009324
filipino,indian,0.009271523178807948
japanese,russian,0.009135628952916374
thai,japanese,0.009096816114359974
indian,greek,0.008658008658008658
indian,japanese,0.008658008658008658
chinese,southern_us,0.008604564160119716
southern_us,jamaican,0.008564814814814815
italian,irish,0.008548099004848176
moroccan,british,0.008526187576126675
vietnamese,french,0.008484848484848486
italian,cajun_creole,0.008420515437611636
russian,cajun_creole,0.0081799591002045
spanish,irish,0.008088978766430738
filipino,spanish,0.007947019867549669
french,moroccan,0.007936507936507936
thai,southern_us,0.007797270955165692
cajun_creole,british,0.007761966364812419
japanese,british,0.007730147575544624
japanese,italian,0.007730147575544624
greek,british,0.007659574468085106
greek,mexican,0.007659574468085106
greek,irish,0.007659574468085106
jamaican,chinese,0.0076045627376425855
jamaican,italian,0.0076045627376425855
irish,jamaican,0.0074962518740629685
irish,indian,0.0074962518740629685
british,cajun_creole,0.007462686567164179
mexican,brazilian,0.007455731593662628
indian,jamaican,0.007326007326007326
indian,southern_us,0.007326007326007326
moroccan,russian,0.007308160779537149
vietnamese,mexican,0.007272727272727273
italian,mexican,0.007272263332482776
korean,spanish,0.007228915662650603
japanese,brazilian,0.007027406886858749
mexican,filipino,0.006834420627524076
chinese,italian,0.006734006734006734
cajun_creole,filipino,0.00646830530401035
brazilian,moroccan,0.006423982869379015
british,greek,0.006218905472636816
british,filipino,0.006218905472636816
russian,mexican,0.006134969325153374
russian,brazilian,0.006134969325153374
vietnamese,indian,0.006060606060606061
vietnamese,jamaican,0.006060606060606061
vietnamese,southern_us,0.006060606060606061
vietnamese,italian,0.006060606060606061
french,filipino,0.006046863189720333
korean,italian,0.006024096385542169
irish,cajun_creole,0.005997001499250375
irish,mexican,0.005997001499250375
indian,british,0.005994005994005994
indian,filipino,0.005994005994005994
cajun_creole,irish,0.005821474773609315
southern_us,greek,0.005787037037037037
mexican,cajun_creole,0.005747126436781609
jamaican,greek,0.005703422053231939
jamaican,thai,0.005703422053231939
indian,italian,0.005661005661005661
japanese,greek,0.005621925509486999
chinese,french,0.005611672278338945
filipino,cajun_creole,0.005298013245033113
filipino,british,0.005298013245033113
filipino,irish,0.005298013245033113
chinese,indian,0.005237560793116348
thai,jamaican,0.005198180636777128
indian,irish,0.004995004995004995
indian,brazilian,0.004995004995004995
indian,russian,0.004995004995004995
british,mexican,0.004975124378109453
french,jamaican,0.0049130763416477706
french,japanese,0.0049130763416477706
moroccan,cajun_creole,0.0048721071863581
moroccan,irish,0.0048721071863581
chinese,mexican,0.004863449307893753
southern_us,indian,0.004861111111111111
vietnamese,moroccan,0.0048484848484848485
vietnamese,british,0.0048484848484848485
vietnamese,greek,0.0048484848484848485
korean,southern_us,0.004819277108433735
